Технічні прийоми,"Вік 13-15 років, разів за гру","Вік 13-15 років, разів за гру","Вік 16-17 років, разів за гру","Вік 16-17 років, разів за гру","Вік 18-19 років, разів за одну гру","Вік 18-19 років, разів за одну гру"
Технічні прийоми,WIN,WIN,LOS,LOS,WIN,WIN,LOS,LOS,WIN,WIN,LOS,LOS
Технічні прийоми,K,%,K,%,K,%
подача,20,0,28,17%,7,0,9,86%,20,666666666666668,26,72%,8,333333333333334,11,26%,21,0,20,79%,15,0,15,0%
прийом,18,0,25,35%,26,0,36,62%,10,0,12,93%,20,0,27,03%,14,0,13,86%,19,5,19,5%
передача,13,0,18,31%,17,0,23,94%,15,666666666666666,20,26%,15,333333333333334,20,72%,18,5,18,32%,16,5,16,5%
напад,18,0,25,35%,20,0,28,17%,18,333333333333332,23,71%,16,333333333333332,22,07%,24,0,23,76%,26,0,26,0%
блок,2,0,2,82%,1,0,1,41%,12,333333333333334,15,95%,13,333333333333334,18,02%,17,0,16,83%,15,0,15,0%
прийом після нападу (гра у захисті),0,3333333333333333,0,43%,0,6666666666666666,0,9%,6,5,6,44%,8,0,8,0%
